"State","Year","Month","Deaths","Population","Rate","Period"
"Wyoming",2018,6,4,577737,0.692356556703137,6
"Alabama",2018,7,25,4887871,0.511470126768894,7
"Alaska",2018,7,4,737438,0.542418481282494,7
"Arizona",2018,7,93,7171646,1.29677343248677,7
"Arkansas",2018,7,18,3013825,0.597247683591449,7
"California",2018,7,185,39557045,0.46767901899649,7
"Colorado",2018,7,43,5695564,0.754973519742733,7
"Connecticut",2018,7,87,3572665,2.43515694866437,7
"Delaware",2018,7,23,967171,2.37806964849029,7
"District of Columbia",2018,7,17,702455,2.42008384878747,7
"Florida",2018,7,254,21299325,1.19252605422942,7
"Georgia",2018,7,69,10519475,0.655926270084771,7
"Hawaii",2018,7,4,1420491,0.281592773203069,7
"Idaho",2018,7,12,1754208,0.684069391999124,7
"Illinois",2018,7,194,12741080,1.52263387405149,7
"Indiana",2018,7,89,6691878,1.32997045074641,7
"Iowa",2018,7,4,3156145,0.126736889464838,7
"Kansas",2018,7,14,2911505,0.480850968828836,7
"Kentucky",2018,7,79,4468402,1.76796984693857,7
"Louisiana",2018,7,31,4659978,0.665239192116358,7
"Maine",2018,7,29,1338404,2.16675981243332,7
"Maryland",2018,7,147,6042718,2.43268012837932,7
"Massachusetts",2018,7,178,6902149,2.57890694622791,7
"Michigan",2018,7,189,9995915,1.89077238051744,7
"Minnesota",2018,7,25,5611179,0.445539163872691,7
"Mississippi",2018,7,16,2986530,0.535738800547793,7
"Missouri",2018,7,90,6126452,1.46903950279868,7
"Montana",2018,7,4,1062305,0.376539694343903,7
"Nebraska",2018,7,4,1929268,0.207332521972064,7
"Nevada",2018,7,40,3034392,1.31822124498087,7
"New Hampshire",2018,7,47,1356458,3.46490639592232,7
"New Jersey",2018,7,192,8908520,2.15524015212403,7
"New Mexico",2018,7,23,2095428,1.09762778773597,7
"New York",2018,7,245,19542209,1.25369654986291,7
"North Carolina",2018,7,140,10383620,1.34827738303212,7
"North Dakota",2018,7,4,760077,0.526262470775987,7
"Ohio",2018,7,294,11689442,2.51509011294123,7
"Oklahoma",2018,7,16,3943079,0.405774269295644,7
"Oregon",2018,7,21,4190713,0.501108045337393,7
"Pennsylvania",2018,7,243,12807060,1.89739097029295,7
"Rhode Island",2018,7,18,1057315,1.7024254834179,7
"South Carolina",2018,7,66,5084127,1.29815797284372,7
"Tennessee",2018,7,107,6770010,1.58049988109323,7
"Texas",2018,7,97,28701845,0.337957368245839,7
"Utah",2018,7,37,3161105,1.17047677948059,7
"Vermont",2018,7,12,626299,1.91601774871108,7
"Virginia",2018,7,95,8517685,1.11532652358006,7
"Washington",2018,7,47,7535591,0.623706886427355,7
"West Virginia",2018,7,58,1805832,3.21181593858122,7
"Wisconsin",2018,7,53,5813568,0.91166044673426,7
"Wyoming",2018,7,4,577737,0.692356556703137,7
"Alabama",2018,8,27,4887871,0.552387736910405,8
