ID,WEEK,OBSDATE,OVERCROWDING,crowd3groups,crowd2groups,start.time,DAYFREE,stop.time,EVENT,VIOEVENT,REGION,RETURNS,OFFSCAT2_1,OFFSCAT2_2,OFFSCAT2_4,OFFSCAT2_5,PALWEEK,SEX_FLAG,STRIKE,AVCLOCK,CVCLOCK,PRIORSER,PRIORVIO,AGERLSE_G_1,AGERLSE_G_3,REGION_1,REGION_2,REGION_4,BLACK,LEVELTYPE_1,LEVELTYPE_2,LEVELTYPE_3,LEVELTYPE_4,LEVELTYPE_5,AGEFIRST,MALE,MH_FLAG,CONC_DIS_STD,RES_STAB_STD,PUB_ASSI_STD,PUNITIVE_STD,ADJRATE1_STD,SAMHSA_C_STD,MALEPA,BLACKPA
29,104,2004-12-26,203.7,medium,high,193,228,421,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,1,0,-0.0828991979,0.1972136945,-0.282976985,-0.8042349219,1.2893944979,1.2242457867,1,0
30,104,2004-12-26,189.5,low,low,0,864,864,0,0,1,4,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,40,1,1,0.5211042166,-0.157953769,0.5281674862,0.8688815832,-0.9252591729,-0.9541737437,1,0
31,15,2003-04-06,188.6,low,low,0,54,54,1,3,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,21,1,0,1.3101974726,0.8961259127,0.0635577291,1.028072238,-0.510065496,-1.2149704695,1,0
31,50,2003-12-07,188.6,low,low,54,299,353,1,5,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,21,1,0,0.0864743888,0.1475167274,0.4947522283,1.3822122812,-0.0002015339,-1.0769015551,1,1
31,104,2004-12-26,188.6,low,low,353,684,1037,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,21,1,0,0.0864743888,0.1475167274,0.4947522283,1.3822122812,-0.0002015339,-1.0769015551,1,1
32,5,2003-01-26,188.5,low,low,0,782,782,1,3,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,18,1,0,1.5738450289,-0.4763473272,-0.6108106971,1.7743976116,0.2838962674,-1.0001966953,1,0
32,104,2004-12-26,188.5,low,low,782,1482,2264,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,18,1,0,1.5738450289,-0.4763473272,-0.6108106971,1.7743976116,0.2838962674,-1.0001966953,1,0
33,68,2004-04-11,193.5,medium,high,0,91,91,1,5,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,32,1,0,-1.0196199417,-1.6792776585,-0.6223799586,1.2102575302,-2.2724547386,-1.0769015551,1,0
33,103,2004-12-19,197.5,medium,high,91,38,129,1,2,1,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,32,1,0,-1.0196199417,-1.6792776585,-0.6223799586,1.2102575302,-2.2724547386,-1.0769015551,1,0
33,104,2004-12-26,197.5,medium,high,129,45,174,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,32,1,0,-1.0196199417,-1.6792776585,-0.6223799586,1.2102575302,-2.2724547386,-1.0769015551,1,0
34,104,2004-12-26,185.1,low,low,0,3619,3619,0,0,2,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,22,1,0,0.6031063199,0.5643672347,0.4093151689,-1.8153613806,-1.0048490763,0.0429901294,1,0
35,81,2004-07-11,192.8,medium,high,0,65,65,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,28,1,0,-0.4283713102,0.2052996159,0.068041347,0.5710824728,-0.4055785835,-1.0001966953,1,0
35,85,2004-08-08,192.8,medium,high,65,93,158,1,4,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,28,1,0,-0.4283713102,0.2052996159,0.068041347,0.5710824728,-0.4055785835,-1.0001966953,1,0
35,104,2004-12-26,192.8,medium,high,158,233,391,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,28,1,0,-0.1106928289,-1.0665254593,-0.0825162902,1.028072238,-0.510065496,-1.2149704695,1,0
36,104,2004-12-26,183.3,low,low,0,603,603,0,0,2,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,42,1,0,1.4654021263,2.1965308189,0.2152403444,-0.8042349219,1.2893944979,1.1935638189,0,0
37,104,2004-12-26,176,low,low,0,985,985,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26,1,0,0.272939682,-0.101930216,-0.4969729185,-0.8042349219,1.2893944979,1.2242457867,0,0
38,104,2004-12-26,189,low,low,0,1702,1702,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,43,1,0,1.0163527727,-0.317761153,-0.6140334606,-0.8042349219,1.2893944979,1.1321998835,0,0
39,74,2004-05-23,184.7,low,low,0,310,310,1,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,36,1,0,-0.977176249,-1.295450449,-1.3348345757,-1.8153613806,-1.0048490763,0.1043540612,0,0
39,75,2004-05-30,184.7,low,low,310,317,627,1,3,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,36,1,0,-0.977176249,-1.295450449,-1.3348345757,-1.8153613806,-1.0048490763,0.1043540612,0,0
