"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"16 years"	"16"	"1999"	"1999"	33	4020305	0.8
	"16 years"	"16"	"2000"	"2000"	53	3975021	1.3
	"16 years"	"16"	"2001"	"2001"	68	4108304	1.7
	"16 years"	"16"	"2002"	"2002"	60	4126961	1.5
	"16 years"	"16"	"2003"	"2003"	78	4139141	1.9
	"16 years"	"16"	"2004"	"2004"	64	4213762	1.5
	"16 years"	"16"	"2005"	"2005"	76	4308145	1.8
	"16 years"	"16"	"2006"	"2006"	106	4502997	2.4
	"16 years"	"16"	"2007"	"2007"	100	4452250	2.2
	"16 years"	"16"	"2008"	"2008"	78	4411176	1.8
	"16 years"	"16"	"2009"	"2009"	88	4365338	2.0
	"16 years"	"16"	"2010"	"2010"	80	4316139	1.9
	"16 years"	"16"	"2011"	"2011"	74	4245479	1.7
	"16 years"	"16"	"2012"	"2012"	62	4174274	1.5
	"16 years"	"16"	"2013"	"2013"	42	4158116	1.0
	"16 years"	"16"	"2014"	"2014"	48	4167234	1.2
	"16 years"	"16"	"2015"	"2015"	62	4184296	1.5
	"16 years"	"16"	"2016"	"2016"	71	4265224	1.7
	"16 years"	"16"	"2017"	"2017"	60	4222691	1.4
	"16 years"	"16"	"2018"	"2018"	59	4130744	1.4
	"16 years"	"16"	"2019"	"2019"	83	4150420	2.0
	"16 years"	"16"	"2020 "	"2020"	146	4187874	3.5
	"17 years"	"17"	"1999"	"1999"	63	4031224	1.6
	"17 years"	"17"	"2000"	"2000"	66	4046012	1.6
	"17 years"	"17"	"2001"	"2001"	89	4028736	2.2
	"17 years"	"17"	"2002"	"2002"	97	4148590	2.3
	"17 years"	"17"	"2003"	"2003"	108	4160313	2.6
	"17 years"	"17"	"2004"	"2004"	130	4167308	3.1
	"17 years"	"17"	"2005"	"2005"	132	4239509	3.1
	"17 years"	"17"	"2006"	"2006"	134	4331493	3.1
	"17 years"	"17"	"2007"	"2007"	145	4521045	3.2
	"17 years"	"17"	"2008"	"2008"	144	4467060	3.2
	"17 years"	"17"	"2009"	"2009"	127	4421341	2.9
	"17 years"	"17"	"2010"	"2010"	122	4395295	2.8
	"17 years"	"17"	"2011"	"2011"	123	4330851	2.8
	"17 years"	"17"	"2012"	"2012"	90	4265702	2.1
	"17 years"	"17"	"2013"	"2013"	108	4191188	2.6
	"17 years"	"17"	"2014"	"2014"	95	4184706	2.3
	"17 years"	"17"	"2015"	"2015"	99	4194286	2.4
	"17 years"	"17"	"2016"	"2016"	120	4205001	2.9
	"17 years"	"17"	"2017"	"2017"	99	4296575	2.3
	"17 years"	"17"	"2018"	"2018"	111	4241936	2.6
	"17 years"	"17"	"2019"	"2019"	111	4142425	2.7
	"17 years"	"17"	"2020 "	"2020"	242	4164893	5.8
	"18 years"	"18"	"1999"	"1999"	109	3989843	2.7
	"18 years"	"18"	"2000"	"2000"	128	4051598	3.2
	"18 years"	"18"	"2001"	"2001"	130	4102851	3.2
	"18 years"	"18"	"2002"	"2002"	159	4084316	3.9
	"18 years"	"18"	"2003"	"2003"	188	4201835	4.5
	"18 years"	"18"	"2004"	"2004"	248	4214061	5.9
	"18 years"	"18"	"2005"	"2005"	203	4225126	4.8
	"18 years"	"18"	"2006"	"2006"	260	4301050	6.0
	"18 years"	"18"	"2007"	"2007"	302	4394638	6.9
	"18 years"	"18"	"2008"	"2008"	299	4588123	6.5
	"18 years"	"18"	"2009"	"2009"	232	4534634	5.1
	"18 years"	"18"	"2010"	"2010"	250	4500855	5.6
	"18 years"	"18"	"2011"	"2011"	250	4396167	5.7
	"18 years"	"18"	"2012"	"2012"	236	4354017	5.4
	"18 years"	"18"	"2013"	"2013"	212	4285609	4.9
	"18 years"	"18"	"2014"	"2014"	198	4225590	4.7
	"18 years"	"18"	"2015"	"2015"	243	4217995	5.8
	"18 years"	"18"	"2016"	"2016"	259	4219303	6.1
	"18 years"	"18"	"2017"	"2017"	233	4241226	5.5
	"18 years"	"18"	"2018"	"2018"	219	4319722	5.1
	"18 years"	"18"	"2019"	"2019"	235	4255827	5.5
	"18 years"	"18"	"2020 "	"2020"	446	4159857	10.7
	"19 years"	"19"	"1999"	"1999"	143	4104078	3.5
	"19 years"	"19"	"2000"	"2000"	182	4127855	4.4
	"19 years"	"19"	"2001"	"2001"	222	4132515	5.4
	"19 years"	"19"	"2002"	"2002"	277	4152627	6.7
	"19 years"	"19"	"2003"	"2003"	263	4123223	6.4
	"19 years"	"19"	"2004"	"2004"	317	4242558	7.5
	"19 years"	"19"	"2005"	"2005"	330	4256465	7.8
	"19 years"	"19"	"2006"	"2006"	338	4265654	7.9
	"19 years"	"19"	"2007"	"2007"	358	4335388	8.3
	"19 years"	"19"	"2008"	"2008"	379	4425539	8.6
	"19 years"	"19"	"2009"	"2009"	326	4611590	7.1
	"19 years"	"19"	"2010"	"2010"	345	4585234	7.5
	"19 years"	"19"	"2011"	"2011"	367	4514710	8.1
	"19 years"	"19"	"2012"	"2012"	266	4422695	6.0
	"19 years"	"19"	"2013"	"2013"	294	4376606	6.7
	"19 years"	"19"	"2014"	"2014"	305	4326394	7.0
	"19 years"	"19"	"2015"	"2015"	355	4262584	8.3
	"19 years"	"19"	"2016"	"2016"	417	4243480	9.8
	"19 years"	"19"	"2017"	"2017"	413	4256608	9.7
	"19 years"	"19"	"2018"	"2018"	332	4263601	7.8
	"19 years"	"19"	"2019"	"2019"	366	4330439	8.5
	"19 years"	"19"	"2020 "	"2020"	642	4272385	15.0
	"20 years"	"20"	"1999"	"1999"	178	3925495	4.5
	"20 years"	"20"	"2000"	"2000"	204	4049448	5.0
	"20 years"	"20"	"2001"	"2001"	221	4156725	5.3
	"20 years"	"20"	"2002"	"2002"	278	4158896	6.7
	"20 years"	"20"	"2003"	"2003"	321	4156877	7.7
	"20 years"	"20"	"2004"	"2004"	294	4131771	7.1
	"20 years"	"20"	"2005"	"2005"	372	4241197	8.8
	"20 years"	"20"	"2006"	"2006"	479	4248095	11.3
	"20 years"	"20"	"2007"	"2007"	458	4242404	10.8
	"20 years"	"20"	"2008"	"2008"	427	4302988	9.9
	"20 years"	"20"	"2009"	"2009"	406	4383628	9.3
	"20 years"	"20"	"2010"	"2010"	460	4519129	10.2
	"20 years"	"20"	"2011"	"2011"	455	4596113	9.9
	"20 years"	"20"	"2012"	"2012"	429	4543774	9.4
	"20 years"	"20"	"2013"	"2013"	424	4445721	9.5
	"20 years"	"20"	"2014"	"2014"	429	4418887	9.7
	"20 years"	"20"	"2015"	"2015"	474	4363440	10.9
	"20 years"	"20"	"2016"	"2016"	594	4286221	13.9
	"20 years"	"20"	"2017"	"2017"	548	4276745	12.8
	"20 years"	"20"	"2018"	"2018"	513	4273822	12.0
	"20 years"	"20"	"2019"	"2019"	566	4269683	13.3
	"20 years"	"20"	"2020 "	"2020"	840	4344572	19.3
	"21 years"	"21"	"1999"	"1999"	206	3763401	5.5
	"21 years"	"21"	"2000"	"2000"	221	3841082	5.8
	"21 years"	"21"	"2001"	"2001"	248	4133311	6.0
	"21 years"	"21"	"2002"	"2002"	330	4182678	7.9
	"21 years"	"21"	"2003"	"2003"	355	4167554	8.5
	"21 years"	"21"	"2004"	"2004"	418	4180191	10.0
	"21 years"	"21"	"2005"	"2005"	433	4150658	10.4
	"21 years"	"21"	"2006"	"2006"	494	4258790	11.6
	"21 years"	"21"	"2007"	"2007"	486	4257371	11.4
	"21 years"	"21"	"2008"	"2008"	508	4251950	11.9
	"21 years"	"21"	"2009"	"2009"	474	4307414	11.0
	"21 years"	"21"	"2010"	"2010"	540	4354294	12.4
	"21 years"	"21"	"2011"	"2011"	549	4592336	12.0
	"21 years"	"21"	"2012"	"2012"	551	4627509	11.9
	"21 years"	"21"	"2013"	"2013"	534	4568663	11.7
	"21 years"	"21"	"2014"	"2014"	548	4489746	12.2
	"21 years"	"21"	"2015"	"2015"	597	4456790	13.4
	"21 years"	"21"	"2016"	"2016"	805	4386854	18.4
	"21 years"	"21"	"2017"	"2017"	743	4318304	17.2
	"21 years"	"21"	"2018"	"2018"	608	4292514	14.2
	"21 years"	"21"	"2019"	"2019"	668	4278323	15.6
	"21 years"	"21"	"2020 "	"2020"	959	4283150	22.4
	"22 years"	"22"	"1999"	"1999"	192	3694190	5.2
	"22 years"	"22"	"2000"	"2000"	216	3758648	5.7
	"22 years"	"22"	"2001"	"2001"	265	3919316	6.8
	"22 years"	"22"	"2002"	"2002"	319	4145736	7.7
	"22 years"	"22"	"2003"	"2003"	409	4175294	9.8
	"22 years"	"22"	"2004"	"2004"	434	4173077	10.4
	"22 years"	"22"	"2005"	"2005"	457	4176096	10.9
	"22 years"	"22"	"2006"	"2006"	535	4141532	12.9
	"22 years"	"22"	"2007"	"2007"	553	4236043	13.1
	"22 years"	"22"	"2008"	"2008"	549	4232792	13.0
	"22 years"	"22"	"2009"	"2009"	539	4217667	12.8
	"22 years"	"22"	"2010"	"2010"	538	4264642	12.6
	"22 years"	"22"	"2011"	"2011"	644	4411032	14.6
	"22 years"	"22"	"2012"	"2012"	597	4623739	12.9
	"22 years"	"22"	"2013"	"2013"	615	4655731	13.2
	"22 years"	"22"	"2014"	"2014"	640	4612322	13.9
	"22 years"	"22"	"2015"	"2015"	721	4529472	15.9
	"22 years"	"22"	"2016"	"2016"	923	4480904	20.6
	"22 years"	"22"	"2017"	"2017"	934	4420763	21.1
	"22 years"	"22"	"2018"	"2018"	780	4334743	18.0
	"22 years"	"22"	"2019"	"2019"	803	4298772	18.7
	"22 years"	"22"	"2020 "	"2020"	1105	4293020	25.7
	"23 years"	"23"	"1999"	"1999"	180	3562469	5.1
	"23 years"	"23"	"2000"	"2000"	232	3673582	6.3
	"23 years"	"23"	"2001"	"2001"	266	3798554	7.0
	"23 years"	"23"	"2002"	"2002"	328	3936927	8.3
	"23 years"	"23"	"2003"	"2003"	413	4147777	10.0
	"23 years"	"23"	"2004"	"2004"	464	4192674	11.1
	"23 years"	"23"	"2005"	"2005"	485	4183656	11.6
	"23 years"	"23"	"2006"	"2006"	575	4186427	13.7
	"23 years"	"23"	"2007"	"2007"	606	4143940	14.6
	"23 years"	"23"	"2008"	"2008"	575	4237432	13.6
	"23 years"	"23"	"2009"	"2009"	595	4230115	14.1
	"23 years"	"23"	"2010"	"2010"	610	4198571	14.5
	"23 years"	"23"	"2011"	"2011"	699	4311760	16.2
	"23 years"	"23"	"2012"	"2012"	666	4443539	15.0
	"23 years"	"23"	"2013"	"2013"	780	4652806	16.8
	"23 years"	"23"	"2014"	"2014"	786	4698584	16.7
	"23 years"	"23"	"2015"	"2015"	840	4652266	18.1
	"23 years"	"23"	"2016"	"2016"	1084	4552952	23.8
	"23 years"	"23"	"2017"	"2017"	1201	4515308	26.6
	"23 years"	"23"	"2018"	"2018"	939	4438724	21.2
	"23 years"	"23"	"2019"	"2019"	916	4341644	21.1
	"23 years"	"23"	"2020 "	"2020"	1279	4315220	29.6
	"24 years"	"24"	"1999"	"1999"	228	3645874	6.3
	"24 years"	"24"	"2000"	"2000"	242	3641241	6.6
	"24 years"	"24"	"2001"	"2001"	274	3749380	7.3
	"24 years"	"24"	"2002"	"2002"	335	3819528	8.8
	"24 years"	"24"	"2003"	"2003"	452	3944186	11.5
	"24 years"	"24"	"2004"	"2004"	489	4167847	11.7
	"24 years"	"24"	"2005"	"2005"	561	4208348	13.3
	"24 years"	"24"	"2006"	"2006"	689	4201291	16.4
	"24 years"	"24"	"2007"	"2007"	613	4198241	14.6
	"24 years"	"24"	"2008"	"2008"	578	4155450	13.9
	"24 years"	"24"	"2009"	"2009"	663	4245298	15.6
	"24 years"	"24"	"2010"	"2010"	674	4249363	15.9
	"24 years"	"24"	"2011"	"2011"	690	4242591	16.3
	"24 years"	"24"	"2012"	"2012"	725	4344642	16.7
	"24 years"	"24"	"2013"	"2013"	751	4472517	16.8
	"24 years"	"24"	"2014"	"2014"	843	4692635	18.0
	"24 years"	"24"	"2015"	"2015"	973	4737345	20.5
