Mo-Yr,violent-crime,violent-crimeclearances,violent-crimerate,violent-crimeclearancerate,population,participated_population,aggravated-assault,aggravated-assaultclearances,aggravated-assaultrate,aggravated-assaultclearancerate,robbery,robberyclearances,robberyrate,robberyclearancerate,arson,arsonclearances,arsonrate,arsonclearancerate,homicide,homicideclearances,homiciderate,homicideclearancerate,burglary,burglaryclearances,burglaryrate,burglaryclearancerate,motor-vehicle-theft,motor-vehicle-theftclearances,motor-vehicle-theftrate,motor-vehicle-theftclearancerate,larceny,larcenyclearances,larcenyrate,larcenyclearancerate,rape,rapeclearances,raperate,rapeclearancerate,property-crime,property-crimeclearances,property-crimerate,property-crimeclearancerate,Date
07-1995,383099.0,186538.0,164.84,80.26,262754000,232410997.0,93984.0,45110.0,40.44,19.41,46649.0,9478.0,20.07,4.08,9404.0,1431.0,4.05,0.62,1837.0,996.0,0.79,0.43,211472.0,26021.0,90.99,11.2,119488.0,15301.0,51.41,6.58,653216.0,109705.0,281.06,47.2,8118.0,3614.0,3.49,1.56,993580.0,152458.0,427.51,65.6,1995-07-01
08-1995,385433.0,193369.0,166.42,83.49,262754000,231600723.0,94072.0,46583.0,40.62,20.11,49300.0,10252.0,21.29,4.43,8530.0,1359.0,3.68,0.59,2038.0,1078.0,0.88,0.47,218243.0,27012.0,94.23,11.66,124094.0,15787.0,53.58,6.82,674811.0,114935.0,291.37,49.63,8599.0,3943.0,3.71,1.7,1025678.0,159093.0,442.86,68.69,1995-08-01
09-1995,371761.0,187332.0,160.21,80.73,262754000,232042603.0,89512.0,45044.0,38.58,19.41,46577.0,9627.0,20.07,4.15,8506.0,1195.0,3.67,0.51,1772.0,1004.0,0.76,0.43,199795.0,24570.0,86.1,10.59,115337.0,14953.0,49.71,6.44,610115.0,106163.0,262.93,45.75,7566.0,3504.0,3.26,1.51,933753.0,146881.0,402.41,63.3,1995-09-01
10-1995,374170.0,186084.0,162.11,80.62,262754000,230811236.0,87081.0,43089.0,37.73,18.67,51209.0,10309.0,22.19,4.47,8439.0,1267.0,3.66,0.55,1831.0,957.0,0.79,0.41,206464.0,25133.0,89.45,10.89,122531.0,15304.0,53.09,6.63,630305.0,110834.0,273.08,48.02,7530.0,3591.0,3.26,1.56,967739.0,152538.0,419.28,66.09,1995-10-01
11-1995,326299.0,161234.0,142.09,70.21,262754000,229635905.0,74788.0,37357.0,32.57,16.27,47837.0,9396.0,20.83,4.09,7318.0,1100.0,3.19,0.48,1662.0,884.0,0.72,0.38,193544.0,22604.0,84.28,9.84,116639.0,14383.0,50.79,6.26,578443.0,105910.0,251.9,46.12,6685.0,3067.0,2.91,1.34,895944.0,143997.0,390.16,62.71,1995-11-01
12-1995,383136.0,178096.0,164.41,76.43,262754000,233033084.0,85220.0,39646.0,36.57,17.01,52383.0,9972.0,22.48,4.28,6804.0,1062.0,2.92,0.46,2049.0,1184.0,0.88,0.51,216761.0,24835.0,93.02,10.66,120535.0,14712.0,51.72,6.31,663713.0,122590.0,284.81,52.61,6896.0,3258.0,2.96,1.4,1007813.0,163199.0,432.48,70.03,1995-12-01
01-1996,294018.0,156611.0,126.37,67.31,265284000,232665245.0,68115.0,36909.0,29.28,15.86,44547.0,10510.0,19.15,4.52,6917.0,1056.0,2.97,0.45,1555.0,935.0,0.67,0.4,175320.0,22834.0,75.35,9.81,108566.0,14676.0,46.66,6.31,520100.0,104795.0,223.54,45.04,6282.0,3088.0,2.7,1.33,810903.0,143361.0,348.53,61.62,1996-01-01
02-1996,279688.0,149509.0,120.27,64.29,265284000,232554668.0,65026.0,34451.0,27.96,14.81,38948.0,9768.0,16.75,4.2,6886.0,1155.0,2.96,0.5,1361.0,909.0,0.59,0.39,159498.0,21326.0,68.59,9.17,99306.0,13270.0,42.7,5.71,496922.0,101166.0,213.68,43.5,6163.0,2985.0,2.65,1.28,762612.0,136917.0,327.93,58.88,1996-02-01
03-1996,299306.0,158298.0,128.78,68.11,265284000,232409508.0,69807.0,36573.0,30.04,15.74,39323.0,10064.0,16.92,4.33,7402.0,1245.0,3.18,0.54,1332.0,838.0,0.57,0.36,163747.0,21605.0,70.46,9.3,101324.0,13458.0,43.6,5.79,528121.0,107242.0,227.24,46.14,6343.0,3050.0,2.73,1.31,800594.0,143550.0,344.48,61.77,1996-03-01
04-1996,301533.0,157426.0,130.34,68.05,265284000,231343309.0,71060.0,36913.0,30.72,15.96,36798.0,9080.0,15.91,3.92,8238.0,1290.0,3.56,0.56,1309.0,820.0,0.57,0.35,163752.0,21166.0,70.78,9.15,97651.0,12766.0,42.21,5.52,533539.0,103128.0,230.63,44.58,6440.0,3010.0,2.78,1.3,803180.0,138350.0,347.18,59.8,1996-04-01
05-1996,329017.0,172458.0,142.35,74.62,265284000,231126993.0,77430.0,39650.0,33.5,17.16,38365.0,9393.0,16.6,4.06,7912.0,1278.0,3.42,0.55,1461.0,951.0,0.63,0.41,173866.0,22104.0,75.23,9.56,99525.0,12913.0,43.06,5.59,568378.0,103987.0,245.92,44.99,7002.0,3350.0,3.03,1.45,849681.0,140282.0,367.63,60.69,1996-05-01
06-1996,334026.0,168949.0,144.52,73.1,265284000,231131427.0,81643.0,40085.0,35.32,17.34,42455.0,9362.0,18.37,4.05,8375.0,1244.0,3.62,0.54,1732.0,896.0,0.75,0.39,175670.0,21711.0,76.0,9.39,104504.0,12578.0,45.21,5.44,582301.0,99567.0,251.94,43.08,7037.0,3246.0,3.04,1.4,870850.0,135100.0,376.78,58.45,1996-06-01
07-1996,329861.0,172536.0,143.07,74.83,265284000,230555671.0,80796.0,41624.0,35.04,18.05,40887.0,9476.0,17.73,4.11,9183.0,1348.0,3.98,0.58,1541.0,929.0,0.67,0.4,189053.0,23365.0,82.0,10.13,107525.0,13688.0,46.64,5.94,607578.0,103953.0,263.53,45.09,7452.0,3484.0,3.23,1.51,913339.0,142354.0,396.15,61.74,1996-07-01
08-1996,327413.0,168195.0,142.25,73.08,265284000,230160488.0,80373.0,40447.0,34.92,17.57,41378.0,9895.0,17.98,4.3,8194.0,1227.0,3.56,0.53,1595.0,1023.0,0.69,0.44,186446.0,23681.0,81.01,10.29,105342.0,13886.0,45.77,6.03,606806.0,106034.0,263.64,46.07,7182.0,3553.0,3.12,1.54,906788.0,144828.0,393.98,62.92,1996-08-01
09-1996,315835.0,162464.0,137.31,70.63,265284000,230014085.0,74425.0,37969.0,32.36,16.51,39607.0,9211.0,17.22,4.0,7064.0,998.0,3.07,0.43,1428.0,871.0,0.62,0.38,179452.0,22046.0,78.02,9.58,100875.0,12835.0,43.86,5.58,554425.0,99053.0,241.04,43.06,6848.0,3324.0,2.98,1.45,841816.0,134932.0,365.98,58.66,1996-09-01
10-1996,317620.0,166557.0,138.39,72.57,265284000,229506821.0,73453.0,38321.0,32.0,16.7,41832.0,10168.0,18.23,4.43,7530.0,1100.0,3.28,0.48,1487.0,848.0,0.65,0.37,182613.0,23435.0,79.57,10.21,105766.0,13378.0,46.08,5.83,574918.0,104782.0,250.5,45.66,6628.0,3260.0,2.89,1.42,870827.0,142695.0,379.43,62.17,1996-10-01
11-1996,284523.0,146688.0,124.14,64.0,265284000,229203538.0,64602.0,33009.0,28.19,14.4,40511.0,9072.0,17.67,3.96,6756.0,1003.0,2.95,0.44,1420.0,771.0,0.62,0.34,167620.0,19892.0,73.13,8.68,101333.0,12537.0,44.21,5.47,514894.0,98589.0,224.64,43.01,5771.0,2930.0,2.52,1.28,790603.0,132021.0,344.93,57.6,1996-11-01
12-1996,472511.0,182916.0,206.55,79.96,265284000,228768701.0,108687.0,40141.0,47.51,17.55,59497.0,10521.0,26.01,4.6,7240.0,1098.0,3.16,0.48,2372.0,1211.0,1.04,0.53,283788.0,24313.0,124.05,10.63,146729.0,14664.0,64.14,6.41,844219.0,124561.0,369.03,54.45,9148.0,3368.0,4.0,1.47,1281976.0,164636.0,560.38,71.97,1996-12-01
01-1997,280461.0,154237.0,117.51,64.62,267637000,238668151.0,61521.0,35584.0,25.78,14.91,38854.0,9786.0,16.28,4.1,6052.0,957.0,2.54,0.4,1376.0,877.0,0.58,0.37,166572.0,22524.0,69.79,9.44,103257.0,13842.0,43.26,5.8,495716.0,103169.0,207.7,43.23,5967.0,3115.0,2.5,1.31,771597.0,140492.0,323.29,58.86,1997-01-01
02-1997,257638.0,141423.0,107.92,59.24,267637000,238719976.0,57587.0,32617.0,24.12,13.66,32105.0,8589.0,13.45,3.6,5902.0,1049.0,2.47,0.44,1137.0,756.0,0.48,0.32,142374.0,19988.0,59.64,8.37,87742.0,11635.0,36.76,4.87,453354.0,95919.0,189.91,40.18,5283.0,2754.0,2.21,1.15,689372.0,128591.0,288.78,53.87,1997-02-01
03-1997,297298.0,161911.0,124.76,67.94,267637000,238300019.0,68229.0,37476.0,28.63,15.73,33727.0,8968.0,14.15,3.76,7197.0,1224.0,3.02,0.51,1328.0,799.0,0.56,0.34,155515.0,21779.0,65.26,9.14,94421.0,12492.0,39.62,5.24,500055.0,103403.0,209.84,43.39,6069.0,2957.0,2.55,1.24,757188.0,138898.0,317.75,58.29,1997-03-01
04-1997,292275.0,160925.0,123.12,67.79,267637000,237383165.0,67057.0,37209.0,28.25,15.67,32087.0,9083.0,13.52,3.83,7489.0,1208.0,3.15,0.51,1188.0,742.0,0.5,0.31,153099.0,21297.0,64.49,8.97,90551.0,12253.0,38.15,5.16,498114.0,100762.0,209.84,42.45,6175.0,3118.0,2.6,1.31,749253.0,135520.0,315.63,57.09,1997-04-01
05-1997,324620.0,175086.0,136.52,73.63,267637000,237788391.0,75977.0,41124.0,31.95,17.29,34878.0,9229.0,14.67,3.88,7647.0,1231.0,3.22,0.52,1257.0,766.0,0.53,0.32,163433.0,21862.0,68.73,9.19,94005.0,12200.0,39.53,5.13,525640.0,100466.0,221.05,42.25,6844.0,3324.0,2.88,1.4,790725.0,135759.0,332.53,57.09,1997-05-01
06-1997,335520.0,169368.0,141.94,71.65,267637000,236387359.0,80527.0,39967.0,34.07,16.91,37905.0,8819.0,16.04,3.73,7426.0,1121.0,3.14,0.47,1539.0,1074.0,0.65,0.45,176996.0,20720.0,74.88,8.77,104172.0,12210.0,44.07,5.17,584501.0,96672.0,247.26,40.9,7775.0,3463.0,3.29,1.46,873095.0,130723.0,369.35,55.3,1997-06-01
07-1997,320844.0,176232.0,135.34,74.34,267637000,237067129.0,77320.0,42658.0,32.62,17.99,36190.0,9164.0,15.27,3.87,8540.0,1260.0,3.6,0.53,1428.0,840.0,0.6,0.35,179369.0,22515.0,75.66,9.5,99022.0,13211.0,41.77,5.57,571290.0,100444.0,240.98,42.37,7274.0,3521.0,3.07,1.49,858221.0,137430.0,362.02,57.97,1997-07-01
08-1997,318649.0,170996.0,134.94,72.41,267637000,236135695.0,75936.0,41518.0,32.16,17.58,37077.0,9051.0,15.7,3.83,7399.0,1186.0,3.13,0.5,1375.0,887.0,0.58,0.38,176752.0,22312.0,74.85,9.45,98814.0,13190.0,41.85,5.59,563061.0,98809.0,238.45,41.84,6987.0,3353.0,2.96,1.42,846026.0,135497.0,358.28,57.38,1997-08-01
09-1997,307817.0,168362.0,130.13,71.17,267637000,236547529.0,71039.0,39953.0,30.03,16.89,35857.0,9194.0,15.16,3.89,7044.0,1089.0,2.98,0.46,1283.0,793.0,0.54,0.34,172049.0,22407.0,72.73,9.47,95046.0,13069.0,40.18,5.52,526823.0,96017.0,222.71,40.59,6541.0,3211.0,2.77,1.36,800962.0,132582.0,338.61,56.05,1997-09-01
10-1997,299176.0,162913.0,126.8,69.05,267637000,235951643.0,67726.0,38075.0,28.7,16.14,36920.0,9149.0,15.65,3.88,7255.0,1431.0,3.07,0.61,1358.0,813.0,0.58,0.34,172543.0,22389.0,73.13,9.49,97982.0,13049.0,41.53,5.53,540298.0,99436.0,228.99,42.14,6116.0,3065.0,2.59,1.3,818078.0,136305.0,346.71,57.77,1997-10-01
11-1997,271184.0,144229.0,116.26,61.83,267637000,233261322.0,60508.0,32982.0,25.94,14.14,34101.0,7734.0,14.62,3.32,5790.0,845.0,2.48,0.36,1252.0,765.0,0.54,0.33,157725.0,18973.0,67.62,8.13,92299.0,11506.0,39.57,4.93,477962.0,90850.0,204.9,38.95,5467.0,2748.0,2.34,1.18,733776.0,122174.0,314.57,52.38,1997-11-01
12-1997,758541.0,250346.0,327.64,108.13,267637000,231515846.0,177623.0,75476.0,76.72,32.6,88261.0,18096.0,38.12,7.82,9519.0,1538.0,4.11,0.66,3067.0,1635.0,1.32,0.71,429081.0,51816.0,185.34,22.38,222275.0,27856.0,96.01,12.03,1254529.0,210644.0,541.88,90.98,14712.0,6699.0,6.35,2.89,1915404.0,291854.0,827.33,126.06,1997-12-01
01-1998,285718.0,155200.0,119.32,64.82,270296000,239450656.0,62807.0,35769.0,26.23,14.94,36497.0,9118.0,15.24,3.81,5563.0,792.0,2.32,0.33,1348.0,865.0,0.56,0.36,166590.0,21368.0,69.57,8.92,95234.0,12359.0,39.77,5.16,489350.0,95454.0,204.36,39.86,5707.0,2806.0,2.38,1.17,756737.0,129973.0,316.03,54.28,1998-01-01
02-1998,253830.0,137190.0,105.78,57.17,270296000,239951894.0,55854.0,31693.0,23.28,13.21,29096.0,7941.0,12.13,3.31,4978.0,754.0,2.07,0.31,1082.0,724.0,0.45,0.3,140788.0,18798.0,58.67,7.83,82684.0,10796.0,34.46,4.5,438587.0,86374.0,182.78,36.0,5393.0,2494.0,2.25,1.04,667037.0,116722.0,277.99,48.64,1998-02-01
03-1998,292980.0,158641.0,122.15,66.14,270296000,239843349.0,64431.0,36711.0,26.86,15.31,30675.0,8888.0,12.79,3.71,5901.0,925.0,2.46,0.39,1233.0,800.0,0.51,0.33,153355.0,20476.0,63.94,8.54,88332.0,11640.0,36.83,4.85,480158.0,93122.0,200.2,38.83,6278.0,3079.0,2.62,1.28,727746.0,126163.0,303.43,52.6,1998-03-01
04-1998,291944.0,156048.0,121.64,65.02,270296000,240001358.0,65787.0,36583.0,27.41,15.24,29276.0,8213.0,12.2,3.42,6187.0,960.0,2.58,0.4,1150.0,751.0,0.48,0.31,149157.0,19781.0,62.15,8.24,83061.0,11092.0,34.61,4.62,476597.0,88848.0,198.58,37.02,5962.0,2828.0,2.48,1.18,715002.0,120681.0,297.92,50.28,1998-04-01
05-1998,320030.0,165050.0,134.02,69.12,270296000,238795790.0,72759.0,38058.0,30.47,15.94,30410.0,7989.0,12.73,3.35,6618.0,1000.0,2.77,0.42,1238.0,768.0,0.52,0.32,154858.0,19618.0,64.85,8.22,86131.0,11285.0,36.07,4.73,494665.0,87935.0,207.15,36.82,6459.0,2992.0,2.7,1.25,742272.0,119838.0,310.84,50.18,1998-05-01
06-1998,307470.0,160151.0,128.9,67.14,270296000,238531108.0,72183.0,37770.0,30.26,15.83,30573.0,8068.0,12.82,3.38,6700.0,982.0,2.81,0.41,1329.0,800.0,0.56,0.34,158252.0,20106.0,66.34,8.43,86966.0,11500.0,36.46,4.82,520840.0,87403.0,218.35,36.64,6558.0,3102.0,2.75,1.3,772758.0,119991.0,323.97,50.3,1998-06-01
07-1998,316048.0,163751.0,132.61,68.71,270296000,238332755.0,74517.0,39193.0,31.27,16.44,32534.0,8222.0,13.65,3.45,7815.0,968.0,3.28,0.41,1289.0,821.0,0.54,0.34,167402.0,20990.0,70.24,8.81,90503.0,11849.0,37.97,4.97,526149.0,86524.0,220.76,36.3,6960.0,3227.0,2.92,1.35,791869.0,120331.0,332.25,50.49,1998-07-01
08-1998,317278.0,164436.0,133.21,69.04,270296000,238177050.0,74313.0,39036.0,31.2,16.39,33385.0,8354.0,14.02,3.51,6986.0,928.0,2.93,0.39,1347.0,831.0,0.57,0.35,166795.0,21115.0,70.03,8.87,91483.0,12122.0,38.41,5.09,531041.0,87600.0,222.96,36.78,6741.0,3177.0,2.83,1.33,796305.0,121765.0,334.33,51.12,1998-08-01
09-1998,304023.0,160284.0,127.82,67.39,270296000,237856318.0,68741.0,37242.0,28.9,15.66,32373.0,8235.0,13.61,3.46,6189.0,833.0,2.6,0.35,1252.0,804.0,0.53,0.34,157086.0,20514.0,66.04,8.62,86440.0,11569.0,36.34,4.86,489184.0,81819.0,205.66,34.4,6369.0,3121.0,2.68,1.31,738899.0,114735.0,310.65,48.24,1998-09-01
10-1998,297834.0,154230.0,125.3,64.88,270296000,237704922.0,65336.0,35534.0,27.49,14.95,34134.0,8339.0,14.36,3.51,6586.0,877.0,2.77,0.37,1231.0,729.0,0.52,0.31,155537.0,20107.0,65.43,8.46,87007.0,11340.0,36.6,4.77,496998.0,85749.0,209.08,36.07,5739.0,2794.0,2.41,1.18,746128.0,118073.0,313.89,49.67,1998-10-01
11-1998,282327.0,148854.0,119.38,62.94,270296000,236498068.0,58453.0,31846.0,24.72,13.47,31832.0,7364.0,13.46,3.11,5965.0,773.0,2.52,0.33,1144.0,708.0,0.48,0.3,147786.0,17587.0,62.49,7.44,81979.0,9995.0,34.66,4.23,462869.0,81505.0,195.72,34.46,5523.0,2575.0,2.34,1.09,698599.0,109860.0,295.39,46.45,1998-11-01
12-1998,740786.0,393238.0,314.24,166.81,270296000,235741402.0,174517.0,96231.0,74.03,40.82,78211.0,19170.0,33.18,8.13,10662.0,1531.0,4.52,0.65,2804.0,1728.0,1.19,0.73,412278.0,55819.0,174.89,23.68,212983.0,31529.0,90.35,13.37,1240650.0,231249.0,526.28,98.09,15344.0,7760.0,6.51,3.29,1876573.0,320128.0,796.03,135.8,1998-12-01
01-1999,272775.0,141045.0,111.37,57.59,272691000,244917421.0,58477.0,32619.0,23.88,13.32,31178.0,7714.0,12.73,3.15,5566.0,877.0,2.27,0.36,1188.0,767.0,0.49,0.31,140740.0,17904.0,57.46,7.31,83037.0,10428.0,33.9,4.26,442931.0,82607.0,180.85,33.73,5686.0,2533.0,2.32,1.03,672274.0,111816.0,274.49,45.65,1999-01-01
02-1999,246364.0,132151.0,100.69,54.01,272691000,244670064.0,52192.0,30193.0,21.33,12.34,25511.0,7037.0,10.43,2.88,4976.0,831.0,2.03,0.34,960.0,642.0,0.39,0.26,122128.0,16447.0,49.92,6.72,71415.0,9655.0,29.19,3.95,406221.0,79465.0,166.03,32.48,5141.0,2474.0,2.1,1.01,604740.0,106398.0,247.17,43.49,1999-02-01
03-1999,275879.0,150406.0,112.71,61.45,272691000,244770446.0,59097.0,33583.0,24.14,13.72,26663.0,7504.0,10.89,3.07,6004.0,1225.0,2.45,0.5,1018.0,659.0,0.42,0.27,133976.0,18249.0,54.74,7.46,77258.0,10725.0,31.56,4.38,452957.0,88509.0,185.05,36.16,5825.0,2816.0,2.38,1.15,670195.0,118708.0,273.81,48.5,1999-03-01
04-1999,286714.0,151944.0,117.23,62.13,272691000,244570113.0,61566.0,34421.0,25.17,14.07,26626.0,7347.0,10.89,3.0,6225.0,1104.0,2.55,0.45,1036.0,711.0,0.42,0.29,131745.0,17477.0,53.87,7.15,75258.0,10046.0,30.77,4.11,453881.0,84092.0,185.58,34.38,5736.0,2741.0,2.35,1.12,667109.0,112719.0,272.77,46.09,1999-04-01
05-1999,311642.0,159570.0,127.5,65.28,272691000,244425748.0,67426.0,35533.0,27.59,14.54,28118.0,7166.0,11.5,2.93,6719.0,1096.0,2.75,0.45,1136.0,688.0,0.46,0.28,139619.0,17136.0,57.12,7.01,78068.0,9829.0,31.94,4.02,474333.0,82831.0,194.06,33.89,6000.0,2708.0,2.45,1.11,698739.0,110892.0,285.87,45.37,1999-05-01
06-1999,293559.0,155234.0,120.05,63.48,272691000,244521424.0,64942.0,35498.0,26.56,14.52,28043.0,7478.0,11.47,3.06,6545.0,1095.0,2.68,0.45,1104.0,734.0,0.45,0.3,142826.0,17774.0,58.41,7.27,79731.0,10560.0,32.61,4.32,494091.0,83818.0,202.06,34.28,6192.0,2776.0,2.53,1.14,723193.0,113247.0,295.76,46.31,1999-06-01
07-1999,308930.0,159118.0,126.79,65.31,272691000,243645609.0,70418.0,37662.0,28.9,15.46,30430.0,8040.0,12.49,3.3,7404.0,1087.0,3.04,0.45,1232.0,743.0,0.51,0.3,152947.0,18967.0,62.77,7.78,85743.0,12852.0,35.19,5.27,516000.0,83318.0,211.78,34.2,6699.0,3120.0,2.75,1.28,762094.0,116224.0,312.79,47.7,1999-07-01
08-1999,304068.0,158080.0,124.81,64.89,272691000,243622070.0,68093.0,36834.0,27.95,15.12,30591.0,7847.0,12.56,3.22,6842.0,1040.0,2.81,0.43,1227.0,731.0,0.5,0.3,155059.0,19639.0,63.65,8.06,87895.0,11720.0,36.08,4.81,523012.0,84264.0,214.68,34.59,6653.0,2977.0,2.73,1.22,772808.0,116663.0,317.22,47.89,1999-08-01
09-1999,290058.0,150391.0,119.34,61.88,272691000,243046443.0,63086.0,34408.0,25.96,14.16,28720.0,7401.0,11.82,3.05,6188.0,986.0,2.55,0.41,1178.0,717.0,0.48,0.3,146665.0,18170.0,60.34,7.48,82191.0,11167.0,33.82,4.59,477305.0,80471.0,196.38,33.11,5825.0,2830.0,2.4,1.16,712349.0,110794.0,293.09,45.59,1999-09-01
10-1999,291973.0,146645.0,120.33,60.43,272691000,242653438.0,63097.0,32977.0,26.0,13.59,30652.0,7086.0,12.63,2.92,6253.0,990.0,2.58,0.41,1129.0,704.0,0.47,0.29,145125.0,17524.0,59.81,7.22,85047.0,10702.0,35.05,4.41,489162.0,82686.0,201.59,34.08,5756.0,2591.0,2.37,1.07,725587.0,111902.0,299.02,46.12,1999-10-01
11-1999,282776.0,146082.0,116.68,60.28,272691000,242348233.0,56758.0,29955.0,23.42,12.36,29936.0,7209.0,12.35,2.97,5669.0,858.0,2.34,0.35,1104.0,684.0,0.46,0.28,144694.0,16278.0,59.7,6.72,81768.0,10116.0,33.74,4.17,460055.0,79023.0,189.83,32.61,5432.0,2505.0,2.24,1.03,692186.0,106275.0,285.62,43.85,1999-11-01
12-1999,697250.0,362316.0,289.35,150.36,272691000,240967614.0,161407.0,87889.0,66.98,36.47,71869.0,18039.0,29.83,7.49,10104.0,1547.0,4.19,0.64,2565.0,1623.0,1.06,0.67,366510.0,50687.0,152.1,21.03,197226.0,29157.0,81.85,12.1,1149100.0,215443.0,476.87,89.41,14097.0,7191.0,5.85,2.98,1722940.0,296834.0,715.01,123.18,1999-12-01
01-2000,275551.0,139664.0,108.17,54.83,281421906,254741154.0,56959.0,31082.0,22.36,12.2,30538.0,7656.0,11.99,3.01,4890.0,789.0,1.92,0.31,1164.0,698.0,0.46,0.27,136541.0,15989.0,53.6,6.28,81434.0,10442.0,31.97,4.1,439488.0,77771.0,172.52,30.53,5739.0,2380.0,2.25,0.93,662353.0,104991.0,260.01,41.21,2000-01-01
02-2000,265856.0,137961.0,104.54,54.25,281421906,254315123.0,54438.0,30344.0,21.41,11.93,25429.0,6896.0,10.0,2.71,4237.0,710.0,1.67,0.28,1010.0,635.0,0.4,0.25,121601.0,15361.0,47.82,6.04,74199.0,9707.0,29.18,3.82,421592.0,76617.0,165.78,30.13,5407.0,2368.0,2.13,0.93,621629.0,102395.0,244.43,40.26,2000-02-01
03-2000,302830.0,155256.0,119.21,61.12,281421906,254039019.0,62828.0,33743.0,24.73,13.28,27522.0,7186.0,10.83,2.83,5263.0,831.0,2.07,0.33,1053.0,661.0,0.41,0.26,136231.0,17580.0,53.63,6.92,80952.0,10819.0,31.87,4.26,477851.0,85067.0,188.1,33.49,6176.0,2855.0,2.43,1.12,700297.0,114297.0,275.67,44.99,2000-03-01
04-2000,296022.0,146996.0,116.66,57.93,281421906,253740964.0,63523.0,33198.0,25.03,13.08,26725.0,6607.0,10.53,2.6,5062.0,779.0,1.99,0.31,1060.0,642.0,0.42,0.25,130786.0,16108.0,51.54,6.35,75912.0,9297.0,29.92,3.66,455380.0,77750.0,179.47,30.64,5788.0,2460.0,2.28,0.97,667140.0,103934.0,262.92,40.96,2000-04-01
05-2000,326066.0,164131.0,128.58,64.72,281421906,253586618.0,69954.0,36456.0,27.59,14.38,28826.0,7228.0,11.37,2.85,5597.0,853.0,2.21,0.34,1171.0,713.0,0.46,0.28,143827.0,17501.0,56.72,6.9,81478.0,10444.0,32.13,4.12,496039.0,82168.0,195.61,32.4,6554.0,2811.0,2.58,1.11,726941.0,110966.0,286.66,43.76,2000-05-01
06-2000,364411.0,155183.0,143.63,61.16,281421906,253720224.0,83005.0,35174.0,32.72,13.86,35780.0,6722.0,14.1,2.65,6917.0,936.0,2.73,0.37,1421.0,682.0,0.56,0.27,170793.0,17836.0,67.32,7.03,102169.0,10589.0,40.27,4.17,600370.0,81577.0,236.63,32.15,7953.0,2759.0,3.13,1.09,880249.0,110938.0,346.94,43.72,2000-06-01
07-2000,321236.0,159639.0,127.21,63.22,281421906,252526837.0,71762.0,36549.0,28.42,14.47,30965.0,7152.0,12.26,2.83,6664.0,997.0,2.64,0.39,1277.0,694.0,0.51,0.27,154578.0,18634.0,61.21,7.38,88553.0,11268.0,35.07,4.46,526358.0,78805.0,208.44,31.21,6821.0,2881.0,2.7,1.14,776153.0,109704.0,307.35,43.44,2000-07-01
08-2000,317444.0,158710.0,126.0,62.99,281421906,251948320.0,68631.0,35935.0,27.24,14.26,31709.0,7402.0,12.59,2.94,6252.0,939.0,2.48,0.37,1284.0,736.0,0.51,0.29,154248.0,19487.0,61.22,7.73,90176.0,11374.0,35.79,4.51,527355.0,82430.0,209.31,32.72,6664.0,3046.0,2.64,1.21,778031.0,114230.0,308.81,45.34,2000-08-01
09-2000,311213.0,156537.0,123.49,62.11,281421906,252012614.0,65110.0,34243.0,25.84,13.59,30328.0,7203.0,12.03,2.86,5583.0,889.0,2.22,0.35,1182.0,695.0,0.47,0.28,145317.0,17447.0,57.66,6.92,85965.0,10711.0,34.11,4.25,490466.0,77685.0,194.62,30.83,6199.0,2818.0,2.46,1.12,727331.0,106732.0,288.61,42.35,2000-09-01
10-2000,309644.0,153640.0,123.31,61.19,281421906,251103241.0,64112.0,33828.0,25.53,13.47,32251.0,7115.0,12.84,2.83,5667.0,864.0,2.26,0.34,1200.0,654.0,0.48,0.26,144803.0,17694.0,57.67,7.05,86467.0,11023.0,34.43,4.39,500358.0,80545.0,199.26,32.08,5983.0,2595.0,2.38,1.03,737295.0,110126.0,293.62,43.86,2000-10-01
11-2000,269197.0,134705.0,107.38,53.73,281421906,250695451.0,54839.0,29484.0,21.87,11.76,30787.0,6952.0,12.28,2.77,4774.0,695.0,1.9,0.28,1065.0,642.0,0.42,0.26,137284.0,16018.0,54.76,6.39,83902.0,10576.0,33.47,4.22,455161.0,76642.0,181.56,30.57,5300.0,2491.0,2.11,0.99,681121.0,103931.0,271.69,41.46,2000-11-01
12-2000,673249.0,376492.0,268.97,150.41,281421906,250309101.0,143636.0,97264.0,57.38,38.86,63780.0,17337.0,25.48,6.93,8560.0,1321.0,3.42,0.53,2332.0,1521.0,0.93,0.61,320290.0,46327.0,127.96,18.51,172853.0,27011.0,69.06,10.79,1013139.0,199316.0,404.76,79.63,12629.0,6604.0,5.05,2.64,1514842.0,273975.0,605.19,109.45,2000-12-01
01-2001,281791.0,143952.0,108.53,55.44,284796887,259641366.0,56365.0,31792.0,21.71,12.24,30583.0,7279.0,11.78,2.8,5403.0,800.0,2.08,0.31,1162.0,716.0,0.45,0.28,137486.0,16733.0,52.95,6.44,86181.0,11400.0,33.19,4.39,456745.0,79742.0,175.91,30.71,5712.0,2478.0,2.2,0.95,685815.0,108675.0,264.14,41.86,2001-01-01
02-2001,255916.0,133947.0,98.67,51.64,284796887,259370715.0,50725.0,28921.0,19.56,11.15,24134.0,6772.0,9.3,2.61,4644.0,815.0,1.79,0.31,904.0,573.0,0.35,0.22,115173.0,15111.0,44.4,5.83,73728.0,9364.0,28.43,3.61,401613.0,72310.0,154.84,27.88,5254.0,2155.0,2.03,0.83,595158.0,97600.0,229.46,37.63,2001-02-01
