Mo-Yr,violent-crime,violent-crimeclearances,violent-crimerate,violent-crimeclearancerate,population,participated_population,aggravated-assault,aggravated-assaultclearances,aggravated-assaultrate,aggravated-assaultclearancerate,robbery,robberyclearances,robberyrate,robberyclearancerate,arson,arsonclearances,arsonrate,arsonclearancerate,homicide,homicideclearances,homiciderate,homicideclearancerate,burglary,burglaryclearances,burglaryrate,burglaryclearancerate,motor-vehicle-theft,motor-vehicle-theftclearances,motor-vehicle-theftrate,motor-vehicle-theftclearancerate,larceny,larcenyclearances,larcenyrate,larcenyclearancerate,rape,rapeclearances,raperate,rapeclearancerate,property-crime,property-crimeclearances,property-crimerate,property-crimeclearancerate,Date
06-1987,264487.0,143297.0,113.73,61.62,243406923,232558192.0,73822.0,42272.0,31.74,18.18,38898.0,10131.0,16.73,4.36,8695.0,1364.0,3.74,0.59,1572.0,1100.0,0.68,0.47,251985.0,34377.0,108.35,14.78,102127.0,15394.0,43.91,6.62,620222.0,116361.0,266.7,50.04,7778.0,4016.0,3.34,1.73,983029.0,167496.0,422.7,72.02,1987-06-01
07-1987,279830.0,147269.0,121.22,63.8,243406923,230837314.0,78274.0,43558.0,33.91,18.87,42281.0,10439.0,18.32,4.52,9361.0,1382.0,4.06,0.6,1739.0,1192.0,0.75,0.52,275256.0,36098.0,119.24,15.64,109558.0,16672.0,47.46,7.22,656166.0,116099.0,284.25,50.29,8176.0,4115.0,3.54,1.78,1050341.0,170251.0,455.01,73.75,1987-07-01
08-1987,279457.0,146918.0,121.32,63.78,243406923,230346248.0,78178.0,43051.0,33.94,18.69,44234.0,10826.0,19.2,4.7,9208.0,1390.0,4.0,0.6,1775.0,1159.0,0.77,0.5,281488.0,37147.0,122.2,16.13,112441.0,16735.0,48.81,7.27,666350.0,118838.0,289.28,51.59,8193.0,4272.0,3.56,1.85,1069487.0,174110.0,464.3,75.59,1987-08-01
09-1987,260283.0,138442.0,113.27,60.25,243406923,229786827.0,71137.0,40443.0,30.96,17.6,42947.0,10508.0,18.69,4.57,7965.0,1350.0,3.47,0.59,1648.0,1079.0,0.72,0.47,261132.0,35756.0,113.64,15.56,104332.0,15651.0,45.4,6.81,606434.0,112212.0,263.91,48.83,7377.0,3835.0,3.21,1.67,979863.0,164969.0,426.42,71.79,1987-09-01
10-1987,256086.0,133244.0,112.06,58.31,243406923,228524144.0,69579.0,37868.0,30.45,16.57,44625.0,10685.0,19.53,4.68,8345.0,1312.0,3.65,0.57,1745.0,1139.0,0.76,0.5,257948.0,34444.0,112.88,15.07,108805.0,16708.0,47.61,7.31,613449.0,117480.0,268.44,51.41,6701.0,3524.0,2.93,1.54,988547.0,169944.0,432.58,74.37,1987-10-01
11-1987,235951.0,122484.0,103.84,53.9,243406923,227227732.0,64278.0,35750.0,28.29,15.73,43014.0,9818.0,18.93,4.32,7856.0,1204.0,3.46,0.53,1643.0,1068.0,0.72,0.47,259210.0,31415.0,114.07,13.83,105758.0,15056.0,46.54,6.63,580125.0,112538.0,255.31,49.53,6296.0,3277.0,2.77,1.44,952949.0,160213.0,419.38,70.51,1987-11-01
12-1987,243358.0,128130.0,107.16,56.42,243406923,227094611.0,67485.0,37443.0,29.72,16.49,48271.0,11229.0,21.26,4.94,9152.0,964.0,4.03,0.42,1915.0,1288.0,0.84,0.57,283888.0,36148.0,125.01,15.92,111674.0,16729.0,49.18,7.37,631665.0,124066.0,278.15,54.63,6395.0,3501.0,2.82,1.54,1036379.0,177907.0,456.36,78.34,1987-12-01
01-1988,221525.0,117310.0,100.55,53.24,245812846,220322827.0,56906.0,32803.0,25.83,14.89,41951.0,9803.0,19.04,4.45,7395.0,1184.0,3.36,0.54,1565.0,1067.0,0.71,0.48,236581.0,31549.0,107.38,14.32,104011.0,14951.0,47.21,6.79,517642.0,107231.0,234.95,48.67,5770.0,2969.0,2.62,1.35,865629.0,154915.0,392.89,70.31,1988-01-01
02-1988,211645.0,112247.0,95.68,50.75,245812846,221197374.0,55361.0,31069.0,25.03,14.05,38151.0,9580.0,17.25,4.33,7015.0,1214.0,3.17,0.55,1384.0,945.0,0.63,0.43,218692.0,30383.0,98.87,13.74,98485.0,14642.0,44.52,6.62,509226.0,109658.0,230.21,49.57,5786.0,2976.0,2.62,1.35,833418.0,155897.0,376.78,70.48,1988-02-01
03-1988,234273.0,126644.0,106.28,57.46,245812846,220422772.0,62759.0,35952.0,28.47,16.31,38830.0,10633.0,17.62,4.82,8914.0,1368.0,4.04,0.62,1473.0,1004.0,0.67,0.46,227994.0,32421.0,103.43,14.71,102713.0,15711.0,46.6,7.13,558416.0,119755.0,253.34,54.33,6304.0,3450.0,2.86,1.57,898037.0,169255.0,407.42,76.79,1988-03-01
